compound_name	mzmed	rtmed	Scan	ionmode
3-Isopropylmalate	175.06099292	149.706	131	NEG
3-Isopropylmalate	175.06099292	149.706	135	NEG
2-hydroxydecanoic acid	187.13381078	379.9602	148	NEG
2-hydroxydecanoic acid	187.13381078	379.9602	152	NEG
Palmitic acid	255.23275002	446.556	395	NEG
Palmitic acid	255.23275002	446.556	399	NEG
α-Linolenic acid (18_3 n−3)	277.21724213	533.0472	445	NEG
α-Linolenic acid (18_3 n−3)	277.21724213	533.0472	449	NEG
Oleic acid	281.24885204	457.38	472	NEG
Oleic acid	281.24885204	457.38	480	NEG
Stearic acid	283.26428748	475.959	484	NEG
Stearic acid	283.26428748	475.959	489	NEG
Eicosadienoic Acid	307.26421943	587.2008	638	NEG
Lithocholic Acid	375.29035403	507.8088	991	NEG
Lithocholic Acid	375.29035403	507.8088	996	NEG
Deoxycholic Acid	391.28560354	392.283	1013	NEG
Deoxycholic Acid	391.28560354	392.283	1023	NEG
Ursodeoxycholic Acid	391.28551198	390.8388	1011	NEG
Ursodeoxycholic Acid	391.28551198	390.8388	1021	NEG
Cholic Acid	407.28049368	400.9758	1061	NEG
Cholic Acid	407.28049368	400.9758	1066	NEG
Cholic Acid	407.28049368	400.9758	1071	NEG
Taurolithocholic Acid	482.29433192	433.6368	1241	NEG
Taurolithocholic Acid	482.29433192	433.6368	1246	NEG
Taurohyodeoxycholic acid	498.28876439	312.8178	1261	NEG
Taurohyodeoxycholic acid	498.28876439	312.8178	1266	NEG
Taurohyocholic Acid	514.28417658	298.9878	1306	NEG
Taurohyocholic Acid	514.28417658	298.9878	1311	NEG
3-Isopropylmalate	175.06085558	148.935	132	NEG
3-Isopropylmalate	175.06085558	148.935	136	NEG
3-Isopropylmalate	175.06099292	149.8272	133	NEG
3-Isopropylmalate	175.06099292	149.8272	137	NEG
3-Isopropylmalate	175.0608861	148.1658	134	NEG
3-Isopropylmalate	175.0608861	148.1658	138	NEG
2-hydroxydecanoic acid	187.13381078	380.0118	149	NEG
