compound_name	Scan	mzmed	rtmed	ionmode	pccid
L-Argininosuccinic acid	322	291.12976215	42.63498	POS	16950
L-Argininosuccinic acid	323	291.12976215	42.68898	POS	16950
L-Argininosuccinic acid	324	291.12976215	42.74298	POS	16950
L-Argininosuccinic acid	332	291.12960956	43.40802	POS	16950
Adrenaline_Epinephrine	354	184.09432837	45.26298	POS	5816
Adrenaline_Epinephrine	358	184.09432837	45.60198	POS	5816
Adrenaline_Epinephrine	363	184.09445044	46.24098	POS	5816
Adrenaline_Epinephrine	367	184.09437414	46.78602	POS	5816
Adrenaline_Epinephrine	368	184.09437414	46.87098	POS	5816
Malonyl-L-carnitine	381	248.11281747	48.27702	POS	91825606
Malonyl-L-carnitine	394	248.11252755	49.236	POS	91825606
Malonyl-L-carnitine	395	248.11252755	49.29102	POS	91825606
Malonyl-L-carnitine	396	248.11252755	49.34502	POS	91825606
Acetyl-L-Carnitine (1) L	400	204.12294042	49.56198	POS	7045767
Malonyl-L-carnitine	414	248.11286325	50.55702	POS	91825606
L-Argininosuccinic acid	487	291.12957904	57.54	POS	16950
Adrenaline_Epinephrine	495	184.09441992	58.647	POS	5816
Normetanephrine	495	184.09441992	58.647	POS	1237
Normetanephrine	496	184.09441992	58.731	POS	1237
Adrenaline_Epinephrine	496	184.09441992	58.731	POS	5816
Adrenaline_Epinephrine	497	184.09441992	58.81602	POS	5816
Adrenaline_Epinephrine	498	184.09441992	58.90002	POS	5816
Adrenaline_Epinephrine	499	184.09441992	58.98498	POS	5816
Acetyl-L-Carnitine (1) L	539	204.12323034	63.846	POS	7045767
Acetyl-L-Carnitine (1) L	546	204.12327612	64.6518	POS	7045767
Acetyl-L-Carnitine (2)	546	204.12327612	64.6518	POS	7045767
Acetyl-L-Carnitine (1) L	553	204.12310827	65.457	POS	7045767
Methylmalonyl-L-carnitine	576	262.12837998	67.9002	POS	156908004
Acetyl-L-Carnitine (1) L	578	204.12304723	68.2542	POS	7045767
Acetyl-L-Carnitine (2)	578	204.12304723	68.2542	POS	7045767
Acetyl-L-Carnitine (1) L	579	204.12304723	68.3082	POS	7045767
Phenylalaine (1)	600	166.08640137	70.245	POS	6140
Phenylalaine (1)	601	166.08640137	70.3302	POS	6140
Phenylalaine (1)	603	166.08640137	70.4988	POS	6140
Phenylalaine (3) L	603	166.08640137	70.4988	POS	6140
Phenylalaine (3) L	604	166.08640137	70.584	POS	6140
Phenylalaine (1)	604	166.08640137	70.584	POS	6140
Phenylalaine (1)	608	166.08630981	71.1378	POS	6140
Methylmalonyl-L-carnitine	658	262.12847171	76.5402	POS	156908004
Methylmalonyl-L-carnitine	659	262.12847171	76.5942	POS	156908004
Methylmalonyl-L-carnitine	660	262.12847171	76.6488	POS	156908004
Methylmalonyl-L-carnitine	661	262.12847171	76.7028	POS	156908004
Methylmalonyl-L-carnitine	891	262.12840879	102.6	POS	156908004
Propionyl-L-carnitine	1000	218.13866991	114.7728	POS	188824
Propionyl-L-carnitine	1001	218.13866991	114.858	POS	188824
Propionyl-L-carnitine	1002	218.13866991	114.942	POS	188824
Propionyl-L-carnitine	1021	218.13880781	116.9838	POS	188824
Propionyl-L-carnitine	1022	218.13880781	117.0378	POS	188824
Methylmalonyl-L-carnitine	1056	262.12850098	119.7582	POS	156908004
Methylmalonyl-L-carnitine	1065	262.12825684	120.6468	POS	156908004
O-Succinyl-L-carnitine	1065	262.12825684	120.6468	POS	131801508
O-Succinyl-L-carnitine	1066	262.12825684	120.702	POS	131801508
Methylmalonyl-L-carnitine	1066	262.12825684	120.702	POS	156908004
Methylmalonyl-L-carnitine	1068	262.12825684	120.81	POS	156908004
Propionyl-L-carnitine	1151	218.13867025	129.42	POS	188824
Propionyl-L-carnitine	1152	218.13867025	129.474	POS	188824
Propionyl-L-carnitine	1153	218.13867025	129.528	POS	188824
Propionyl-L-carnitine	1170	218.13870077	130.749	POS	188824
Propionyl-L-carnitine	1171	218.13870077	130.803	POS	188824
5-hydroxy tryptophan	1235	221.09213778	137.4612	POS	144
5-hydroxy tryptophan	1236	221.09213778	137.5458	POS	144
5-hydroxy tryptophan	1237	221.09213778	137.6298	POS	144
5-hydroxy tryptophan	1238	221.09213778	137.715	POS	144
5-hydroxy tryptophan	1239	221.09213778	137.8002	POS	144
3-Me-Glutaryl Carnitine	1344	290.15962651	148.9872	POS	91825638
3-Me-Glutaryl Carnitine	1345	290.15962651	149.0412	POS	91825638
3-Me-Glutaryl Carnitine	1346	290.15962651	149.0952	POS	91825638
3-Me-Glutaryl Carnitine	1348	290.15962651	149.202	POS	91825638
3-Me-Glutaryl Carnitine	1358	290.15983964	150.1332	POS	91825638
Butyryl-L-carnitine	1382	232.15467107	151.9842	POS	213144
Butyryl-L-carnitine	1383	232.15467107	152.0382	POS	213144
Butyryl-L-carnitine	1384	232.15467107	152.0922	POS	213144
Butyryl-L-carnitine	1385	232.15467107	152.1462	POS	213144
Isobutyryl-L-carnitine	1533	232.15451873	165.882	POS	168379
Butyryl-L-carnitine	1537	232.15451873	166.221	POS	213144
Isobutyryl-L-carnitine	1575	232.15432036	170.5458	POS	168379
Butyryl-L-carnitine	1582	232.15462554	171.345	POS	213144
Butyryl-L-carnitine	1583	232.15462554	171.4302	POS	213144
Butyryl-L-carnitine	1584	232.15462554	171.5148	POS	213144
Xanthurenic acid	1664	206.04479594	178.4652	POS	5699
Xanthurenic acid	1665	206.04479594	178.5258	POS	5699
Xanthurenic acid	1666	206.04479594	178.5858	POS	5699
Xanthurenic acid	1667	206.04479594	178.647	POS	5699
Xanthurenic acid	1680	206.04497926	179.8452	POS	5699
Valeryl-L-carnitine	1768	246.17017014	187.362	POS	163323606
Valeryl-L-carnitine	1769	246.17017014	187.4172	POS	163323606
Valeryl-L-carnitine	1770	246.17017014	187.4712	POS	163323606
Valeryl-L-carnitine	1771	246.17017014	187.5252	POS	163323606
Valeryl-L-carnitine	1788	246.17029221	188.7312	POS	163323606
N-acetylserotonin	1879	219.11288571	197.181	POS	903
N-acetylserotonin	1880	219.11288571	197.235	POS	903
N-acetylserotonin	1881	219.11288571	197.289	POS	903
N-acetylserotonin	1882	219.11288571	197.343	POS	903
N-acetylserotonin	1905	219.11267077	199.0602	POS	903
Valeryl-L-carnitine	2057	246.17016828	215.604	POS	163323606
Valeryl-L-carnitine	2058	246.17016828	215.6892	POS	163323606
Valeryl-L-carnitine	2059	246.17016828	215.7738	POS	163323606
Valeryl-L-carnitine	2066	246.17021406	216.5658	POS	163323606
Valeryl-L-carnitine	2067	246.17021406	216.651	POS	163323606
Hexanoyl-L-carnitine	2224	260.18624709	233.886	POS	3246938
Hexanoyl-L-carnitine	2237	260.18636916	234.8178	POS	3246938
Hexanoyl-L-carnitine	2238	260.18636916	234.8718	POS	3246938
Hexanoyl-L-carnitine	2239	260.18636916	234.9258	POS	3246938
Hexanoyl-L-carnitine	2372	260.18560587	246.5058	POS	3246938
Hexanoyl-L-carnitine	2373	260.18560587	246.5898	POS	3246938
Hexanoyl-L-carnitine	2380	260.18530069	247.386	POS	3246938
Hexanoyl-L-carnitine	2382	260.18563639	247.7688	POS	3246938
Hexanoyl-L-carnitine	2383	260.18563639	247.854	POS	3246938
O-octanoyl-L-Carnitine	2924	288.21917287	306.942	POS	11953814
O-octanoyl-L-Carnitine	2925	288.21917287	306.996	POS	11953814
O-octanoyl-L-Carnitine	2926	288.21917287	307.0512	POS	11953814
O-octanoyl-L-Carnitine	2927	288.21917287	307.1052	POS	11953814
O-octanoyl-L-Carnitine	2928	288.21917287	307.1592	POS	11953814
N-Octanoylglycine (Capryloylglycine)	3403	202.14399999	354.9708	POS	84290
N-Octanoylglycine (Capryloylglycine)	3404	202.14399999	355.0248	POS	84290
N-Octanoylglycine (Capryloylglycine)	3405	202.14399999	355.0788	POS	84290
N-Octanoylglycine (Capryloylglycine)	3406	202.14399999	355.1328	POS	84290
N-Octanoylglycine (Capryloylglycine)	3407	202.14399999	355.1868	POS	84290
Decanoyl-L-carnitine	3507	316.24908194	363.4452	POS	11953821
Decanoyl-L-carnitine	3508	316.24908194	363.4998	POS	11953821
Decanoyl-L-carnitine	3509	316.24908194	363.5538	POS	11953821
Decanoyl-L-carnitine	3510	316.24908194	363.6078	POS	11953821
Decanoyl-L-carnitine	3511	316.24908194	363.6618	POS	11953821
Decanoyl-L-carnitine	3622	316.24794856	375.1362	POS	11953821
Glycochenodeoxycholic Acid	3726	450.32150873	385.7628	POS	12544
Glycodeoxycholic acid	3727	450.32150873	385.8168	POS	3035026
Glycochenodeoxycholic Acid	3727	450.32150873	385.8168	POS	12544
Glycodeoxycholic acid	3728	450.32150873	385.8708	POS	3035026
Glycochenodeoxycholic Acid	3728	450.32150873	385.8708	POS	12544
Glycochenodeoxycholic Acid	3729	450.32150873	385.9248	POS	12544
Glycochenodeoxycholic Acid	3747	450.32123407	387.3822	POS	12544
trans-2-Dodecenoyl-L-carnitine	3921	342.26610399	401.367	POS	88861956
trans-2-Dodecenoyl-L-carnitine	3922	342.26610399	401.421	POS	88861956
trans-2-Dodecenoyl-L-carnitine	3923	342.26610399	401.4762	POS	88861956
trans-2-Dodecenoyl-L-carnitine	3924	342.26610399	401.5302	POS	88861956
trans-2-Dodecenoyl-L-carnitine	3925	342.26610399	401.5842	POS	88861956
Tetradecandienoyl-L-carnitine	3992	368.28075936	407.136	POS	136212422
Tetradecandienoyl-L-carnitine	3993	368.28075936	407.1912	POS	136212422
Tetradecandienoyl-L-carnitine	3994	368.28075936	407.2452	POS	136212422
Tetradecandienoyl-L-carnitine	3995	368.28075936	407.2992	POS	136212422
Tetradecandienoyl-L-carnitine	3996	368.28075936	407.3532	POS	136212422
(3R)-3-Hydroxyoleyl-L-carnitine	4048	442.3526822	412.2372	POS	129637446
(3R)-3-Hydroxyoleyl-L-carnitine	4049	442.3526822	412.3218	POS	129637446
(3R)-3-Hydroxyoleyl-L-carnitine	4063	442.35283479	413.6568	POS	129637446
(3R)-3-Hydroxyoleyl-L-carnitine	4103	442.35298738	418.5252	POS	129637446
(3R)-3-Hydroxyoleyl-L-carnitine	4104	442.35298738	418.6098	POS	129637446
(3R)-3-Hydroxyoleyl-L-carnitine	4105	442.35298738	418.695	POS	129637446
(3R)-3-Hydroxyoleyl-L-carnitine	4107	442.35252961	419.058	POS	129637446
(3R)-3-Hydroxyoleyl-L-carnitine	4108	442.35252961	419.142	POS	129637446
Tetradecandienoyl-L-carnitine	4113	368.27941657	419.757	POS	136212422
Tetradecandienoyl-L-carnitine	4114	368.27941657	419.8422	POS	136212422
Tetradecandienoyl-L-carnitine	4115	368.27941657	419.9262	POS	136212422
Tetradecandienoyl-L-carnitine	4116	368.27941657	420.0108	POS	136212422
Tetradecandienoyl-L-carnitine	4117	368.27941657	420.0948	POS	136212422
Myristoyl-L-carnitine	4499	372.3113461	452.5038	POS	53477791
